t_ms,lat,lon,speed_kmh,heading_deg,sats,lap,lap_time_ms,best_lap_ms,delta_ms
39700,-23.703443,-46.698118,59.98,83.8,9,2,1300,37800,-700
39800,-23.703429,-46.698121,61.13,83.3,11,2,1400,37800,-700
39900,-23.703403,-46.698128,62.28,82.2,12,2,1500,37800,-700
40000,-23.703390,-46.698132,63.43,81.7,10,2,1600,37800,-700
40100,-23.703377,-46.698138,63.33,81.2,12,2,1700,37800,-700
40200,-23.703365,-46.698144,61.92,80.6,9,2,1800,37800,-700
40300,-23.703353,-46.698151,63.07,80.1,9,2,1900,37800,-700
40400,-23.703342,-46.698158,60.67,79.6,10,2,2000,37800,-700
40500,-23.703331,-46.698166,61.83,79.2,12,2,2100,37800,-700
40600,-23.703309,-46.698185,62.67,78.2,11,2,2200,37800,-700
40700,-23.703300,-46.698195,63.82,77.7,9,2,2300,37800,-700
40800,-23.703291,-46.698206,64.97,77.3,9,2,2400,37800,-700
40900,-23.703282,-46.698217,66.12,76.8,8,2,2500,37800,-700
41000,-23.703274,-46.698230,66.96,76.4,9,2,2600,37800,-700
41100,-23.703259,-46.698253,68.11,75.6,9,2,2700,37800,-700
41200,-23.703252,-46.698266,69.26,75.2,11,2,2800,37800,-700
41300,-23.703246,-46.698279,70.41,74.8,8,2,2900,37800,-700
41400,-23.703234,-46.698306,71.57,74.0,8,2,3000,37800,-700
41500,-23.703229,-46.698319,72.72,73.6,9,2,3100,37800,-700
41600,-23.703224,-46.698333,73.87,73.3,10,2,3200,37800,-700
41700,-23.703216,-46.698359,75.02,72.6,11,2,3300,37800,-700
41800,-23.703212,-46.698374,76.17,72.3,10,2,3400,37800,-700
41900,-23.703205,-46.698403,77.33,71.6,8,2,3500,37800,-700
42000,-23.703202,-46.698417,78.48,71.3,8,2,3600,37800,-700
42100,-23.703199,-46.698431,77.28,71.0,12,2,3700,37800,-700
42200,-23.703194,-46.698460,76.49,70.3,10,2,3800,37800,-700
42300,-23.703192,-46.698474,76.36,70.0,12,2,3900,37800,-700
42400,-23.703188,-46.698505,76.70,69.4,12,2,4000,37800,-700
42500,-23.703187,-46.698517,76.79,69.1,11,2,4100,37800,-700
42600,-23.703184,-46.698549,77.95,68.5,12,2,4200,37800,-700
42700,-23.703183,-46.698562,78.10,68.2,12,2,4300,37800,-700
42800,-23.703182,-46.698578,77.87,67.9,11,2,4400,37800,-700
42900,-23.703181,-46.698608,77.27,67.3,9,2,4500,37800,-700
43000,-23.703181,-46.698621,78.42,67.0,9,2,4600,37800,-700
43100,-23.703181,-46.698652,79.32,66.4,8,2,4699,37800,-700
43200,-23.703181,-46.698666,79.89,66.1,8,2,4799,37800,-700
43300,-23.703181,-46.698693,77.78,65.6,8,2,4899,37800,-700
43400,-23.703182,-46.698711,76.47,65.2,12,2,4999,37800,-700
43500,-23.703183,-46.698739,76.36,64.7,8,2,5099,37800,-700
43600,-23.703184,-46.698753,76.36,64.4,11,2,5199,37800,-700
43700,-23.703185,-46.698767,77.52,64.1,9,2,5299,37800,-700
43800,-23.703187,-46.698798,78.67,63.4,9,2,5399,37800,-700
43900,-23.703188,-46.698812,78.24,63.1,9,2,5499,37800,-700
44000,-23.703191,-46.698840,79.01,62.6,8,2,5599,37800,-700
44100,-23.703193,-46.698857,77.53,62.2,8,2,5699,37800,-700
44200,-23.703196,-46.698885,78.68,61.6,8,2,5799,37800,-700
44300,-23.703198,-46.698898,77.25,61.3,12,2,5899,37800,-700
44400,-23.703202,-46.698929,78.41,60.6,12,2,5999,37800,-700
44500,-23.703204,-46.698942,76.39,60.3,9,2,6099,37800,-700
44600,-23.703207,-46.698959,77.54,59.9,9,2,6199,37800,-700
44700,-23.703211,-46.698988,76.81,59.2,11,2,6299,37800,-700
44800,-23.703214,-46.699001,77.97,58.9,9,2,6399,37800,-700
44900,-23.703219,-46.699029,77.79,58.2,12,2,6499,37800,-700
45000,-23.703221,-46.699045,77.31,57.7,12,2,6599,37800,-700
45100,-23.703227,-46.699075,78.46,56.9,12,2,6699,37800,-700
45200,-23.703230,-46.699090,77.90,56.5,11,2,6799,37800,-700
45300,-23.703233,-46.699104,78.51,56.1,12,2,6899,37800,-700
45400,-23.703239,-46.699132,77.02,55.2,9,2,6999,37800,-700
45500,-23.703242,-46.699145,78.17,54.8,12,2,7099,37800,-700
45600,-23.703248,-46.699174,77.63,53.8,10,2,7199,37800,-700
45700,-23.703251,-46.699189,77.51,53.3,8,2,7299,37800,-700
45800,-23.703257,-46.699217,77.86,52.2,10,2,7399,37800,-700
45900,-23.703260,-46.699233,79.01,51.6,8,2,7499,37800,-700
46000,-23.703266,-46.699260,76.49,50.3,11,2,7599,37800,-700
46100,-23.703269,-46.699276,76.81,49.6,12,2,7699,37800,-700
46200,-23.703272,-46.699290,76.30,48.8,8,2,7799,37800,-700
46300,-23.703276,-46.699319,77.45,47.1,11,2,7899,37800,-700
46400,-23.703278,-46.699333,77.47,46.2,11,2,7999,37800,-700
46500,-23.703280,-46.699363,74.95,43.9,11,2,8099,37800,-700
46600,-23.703279,-46.699378,72.43,42.6,8,2,8199,37800,-700
46700,-23.703278,-46.699392,69.91,41.1,11,2,8299,37800,-700
46800,-23.703270,-46.699420,67.39,37.8,9,2,8399,37800,-700
46900,-23.703264,-46.699433,64.87,36.0,9,2,8499,37800,-700
47000,-23.703257,-46.699446,62.35,34.1,8,2,8599,37800,-700
47100,-23.703249,-46.699458,59.83,32.2,10,2,8699,37800,-700
47200,-23.703240,-46.699469,60.98,30.4,9,2,8799,37800,-700
47300,-23.703231,-46.699481,62.13,28.6,8,2,8899,37800,-700
47400,-23.703223,-46.699492,63.28,26.8,8,2,8999,37800,-700
47500,-23.703207,-46.699515,64.43,23.3,10,2,9099,37800,-700
47600,-23.703199,-46.699527,65.59,21.6,10,2,9199,37800,-700
47700,-23.703192,-46.699539,66.74,19.8,8,2,9299,37800,-700
47800,-23.703185,-46.699552,64.91,18.1,10,2,9399,37800,-700
47900,-23.703179,-46.699566,64.17,16.3,12,2,9499,37800,-700
48000,-23.703170,-46.699594,61.65,12.8,11,2,9599,37800,-700
48100,-23.703166,-46.699607,60.54,11.1,12,2,9699,37800,-700
48200,-23.703163,-46.699622,60.19,9.3,10,2,9799,37800,-700
48300,-23.703161,-46.699636,60.49,7.6,10,2,9899,37800,-700
48400,-23.703160,-46.699651,60.39,5.9,9,2,9999,37800,-700
48500,-23.703160,-46.699665,58.80,4.1,8,2,10099,37800,-700
48600,-23.703160,-46.699680,59.95,2.4,12,2,10199,37800,-700
48700,-23.703162,-46.699695,60.02,0.6,8,2,10299,37800,-700
48800,-23.703166,-46.699724,61.17,357.1,9,2,10399,37800,-700
48900,-23.703170,-46.699738,62.32,355.4,10,2,10499,37800,-700
49000,-23.703174,-46.699752,63.48,353.6,9,2,10599,37800,-700
49100,-23.703178,-46.699767,64.63,351.8,9,2,10699,37800,-700
49200,-23.703183,-46.699780,65.78,350.0,9,2,10799,37800,-700
49300,-23.703189,-46.699794,66.93,348.2,10,2,10899,37800,-700
49400,-23.703200,-46.699820,68.08,344.6,9,2,10999,37800,-700
49500,-23.703206,-46.699833,69.24,342.8,11,2,11099,37800,-700
49600,-23.703212,-46.699846,70.39,340.9,10,2,11199,37800,-700
49700,-23.703224,-46.699873,71.54,337.1,12,2,11299,37800,-700
49800,-23.703228,-46.699887,69.02,335.3,9,2,11399,37800,-700
49900,-23.703232,-46.699901,66.50,333.3,11,2,11499,37800,-700
50000,-23.703235,-46.699916,63.98,331.6,12,2,11599,37800,-700
50100,-23.703237,-46.699930,61.46,329.8,11,2,11699,37800,-700
50200,-23.703237,-46.699960,58.94,326.7,11,2,11799,37800,-700
50300,-23.703236,-46.699974,59.31,325.4,12,2,11899,37800,-700
50400,-23.703234,-46.699989,60.46,324.1,8,2,11999,37800,-700
50500,-23.703232,-46.700002,61.61,323.0,8,2,12099,37800,-700
50600,-23.703229,-46.700017,62.76,322.0,11,2,12199,37800,-700
50700,-23.703226,-46.700032,63.91,320.9,9,2,12299,37800,-700
50800,-23.703223,-46.700046,65.07,320.0,12,2,12399,37800,-700
50900,-23.703215,-46.700074,66.22,318.3,10,2,12499,37800,-700
51000,-23.703212,-46.700088,67.37,317.5,9,2,12599,37800,-700
51100,-23.703208,-46.700103,68.52,316.8,11,2,12699,37800,-700
51200,-23.703200,-46.700129,69.67,315.5,12,2,12799,37800,-700
51300,-23.703196,-46.700143,70.83,314.8,12,2,12899,37800,-700
51400,-23.703192,-46.700158,71.98,314.2,8,2,12999,37800,-700
51500,-23.703188,-46.700172,73.13,313.6,12,2,13099,37800,-700
51600,-23.703180,-46.700200,74.28,312.5,9,2,13199,37800,-700
51700,-23.703177,-46.700213,75.43,312.0,9,2,13299,37800,-700
51800,-23.703169,-46.700243,76.59,310.9,8,2,13399,37800,-700
51900,-23.703165,-46.700257,77.74,310.4,8,2,13499,37800,-700
52000,-23.703158,-46.700286,78.89,309.5,8,2,13599,37800,-700
52100,-23.703155,-46.700301,79.09,309.0,8,2,13699,37800,-700
52200,-23.703152,-46.700313,77.20,308.6,12,2,13799,37800,-700
52300,-23.703145,-46.700343,77.14,307.7,9,2,13899,37800,-700
52400,-23.703142,-46.700355,77.09,307.3,10,2,13999,37800,-700
52500,-23.703136,-46.700387,77.04,306.4,9,2,14099,37800,-700
52600,-23.703134,-46.700399,77.07,306.1,8,2,14199,37800,-700
52700,-23.703128,-46.700428,77.76,305.3,8,2,14299,37800,-700
52800,-23.703125,-46.700444,76.77,304.9,8,2,14399,37800,-700
52900,-23.703123,-46.700457,76.97,304.5,9,2,14499,37800,-700
53000,-23.703119,-46.700486,77.15,303.7,8,2,14599,37800,-700
53100,-23.703117,-46.700499,78.30,303.4,8,2,14699,37800,-700
53200,-23.703113,-46.700529,76.78,302.7,8,2,14799,37800,-700
53300,-23.703112,-46.700545,76.30,302.3,8,2,14899,37800,-700
53400,-23.703109,-46.700575,77.03,301.5,12,2,14999,37800,-700
53500,-23.703108,-46.700588,77.01,301.2,10,2,15099,37800,-700
53600,-23.703106,-46.700604,78.10,300.8,9,2,15199,37800,-700
53700,-23.703105,-46.700633,78.58,300.1,12,2,15299,37800,-700
53800,-23.703104,-46.700649,76.44,299.7,8,2,15399,37800,-700
53900,-23.703104,-46.700677,77.59,299.0,11,2,15499,37800,-700
54000,-23.703104,-46.700693,76.19,298.6,8,2,15599,37800,-700
54100,-23.703104,-46.700720,76.07,298.0,9,2,15699,37800,-700
54200,-23.703105,-46.700735,77.22,297.6,9,2,15799,37800,-700
54300,-23.703106,-46.700750,76.95,297.2,9,2,15899,37800,-700
54400,-23.703108,-46.700779,77.80,296.5,8,2,15999,37800,-700
54500,-23.703110,-46.700796,77.51,296.1,8,2,16099,37800,-700
54600,-23.703113,-46.700823,78.66,295.3,8,2,16199,37800,-700
54700,-23.703116,-46.700838,76.96,294.9,8,2,16299,37800,-700
54800,-23.703121,-46.700866,76.25,294.2,10,2,16399,37800,-700
54900,-23.703125,-46.700881,77.40,293.7,11,2,16499,37800,-700
55000,-23.703128,-46.700894,78.55,293.3,8,2,16599,37800,-700
55100,-23.703137,-46.700923,76.81,292.5,9,2,16699,37800,-700
55200,-23.703142,-46.700937,75.67,292.0,8,2,16799,37800,-700
55300,-23.703154,-46.700964,74.39,291.1,9,2,16899,37800,-700
55400,-23.703160,-46.700976,71.87,290.6,10,2,16999,37800,-700
55500,-23.703168,-46.700989,69.35,290.1,10,2,17099,37800,-700
55600,-23.703184,-46.701012,66.83,289.1,10,2,17199,37800,-700
55700,-23.703194,-46.701023,64.31,288.5,11,2,17299,37800,-700
55800,-23.703203,-46.701034,61.79,288.0,10,2,17399,37800,-700
55900,-23.703214,-46.701043,59.27,287.4,8,2,17499,37800,-700
56000,-23.703224,-46.701051,56.75,286.9,10,2,17599,37800,-700
56100,-23.703236,-46.701059,54.23,286.3,10,2,17699,37800,-700
56200,-23.703248,-46.701065,52.99,285.7,10,2,17799,37800,-700
56300,-23.703261,-46.701071,54.14,285.1,8,2,17899,37800,-700
56400,-23.703273,-46.701076,54.49,284.5,10,2,17999,37800,-700
56500,-23.703287,-46.701079,55.64,283.9,10,2,18099,37800,-700
56600,-23.703300,-46.701082,56.79,283.3,12,2,18199,37800,-700
56700,-23.703313,-46.701084,57.95,282.8,12,2,18299,37800,-700
56800,-23.703327,-46.701085,59.10,282.2,11,2,18399,37800,-700
56900,-23.703341,-46.701086,60.25,281.6,10,2,18499,37800,-700
57000,-23.703367,-46.701085,61.40,280.4,12,2,18599,37800,-700
57100,-23.703381,-46.701084,62.55,279.8,8,2,18699,37800,-700
57200,-23.703393,-46.701083,63.71,279.3,11,2,18799,37800,-700
57300,-23.703407,-46.701081,64.86,278.7,8,2,18900,37800,-700
57400,-23.703420,-46.701080,66.01,278.1,11,2,19000,37800,-700
57500,-23.703447,-46.701075,67.16,276.9,12,2,19100,37800,-700
57600,-23.703461,-46.701073,68.31,276.3,8,2,19200,37800,-700
57700,-23.703474,-46.701070,69.47,275.7,10,2,19300,37800,-700
57800,-23.703487,-46.701068,70.62,275.2,11,2,19400,37800,-700
57900,-23.703513,-46.701061,71.77,274.0,8,2,19500,37800,-700
58000,-23.703527,-46.701058,72.92,273.4,12,2,19600,37800,-700
58100,-23.703539,-46.701054,74.07,272.8,12,2,19700,37800,-700
58200,-23.703565,-46.701045,75.23,271.6,9,2,19800,37800,-700
58300,-23.703578,-46.701039,76.38,271.0,8,2,19900,37800,-700
58400,-23.703602,-46.701027,73.86,269.9,12,2,20000,37800,-700
58500,-23.703614,-46.701020,71.34,269.3,10,2,20100,37800,-700
58600,-23.703626,-46.701013,70.14,268.8,9,2,20200,37800,-700
58700,-23.703637,-46.701004,68.71,268.2,11,2,20300,37800,-700
58800,-23.703658,-46.700987,68.12,267.2,8,2,20400,37800,-700
58900,-23.703668,-46.700977,68.93,266.7,12,2,20500,37800,-700
59000,-23.703678,-46.700967,70.08,266.2,9,2,20600,37800,-700
59100,-23.703696,-46.700945,71.24,265.2,10,2,20700,37800,-700
59200,-23.703704,-46.700934,72.39,264.7,8,2,20800,37800,-700
59300,-23.703712,-46.700922,73.54,264.3,8,2,20900,37800,-700
59400,-23.703728,-46.700898,74.69,263.3,10,2,21000,37800,-700
59500,-23.703736,-46.700885,75.84,262.9,11,2,21100,37800,-700
59600,-23.703749,-46.700861,77.00,262.0,8,2,21200,37800,-700
59700,-23.703756,-46.700847,77.57,261.5,11,2,21300,37800,-700
59800,-23.703763,-46.700835,77.63,261.1,9,2,21400,37800,-700
59900,-23.703775,-46.700808,78.78,260.2,11,2,21500,37800,-700
60000,-23.703781,-46.700796,77.74,259.8,12,2,21600,37800,-700
60100,-23.703793,-46.700769,76.66,258.8,10,2,21700,37800,-700
60200,-23.703799,-46.700757,76.49,258.4,12,2,21800,37800,-700
60300,-23.703811,-46.700729,76.40,257.4,10,2,21900,37800,-700
60400,-23.703817,-46.700716,77.55,256.9,12,2,22000,37800,-700
60500,-23.703823,-46.700703,77.47,256.4,9,2,22100,37800,-700
60600,-23.703836,-46.700676,78.62,255.2,10,2,22200,37800,-700
60700,-23.703842,-46.700664,76.56,254.6,9,2,22300,37800,-700
60800,-23.703857,-46.700640,76.25,253.4,9,2,22400,37800,-700
60900,-23.703865,-46.700628,73.73,252.7,11,2,22500,37800,-700
61000,-23.703873,-46.700616,71.21,251.9,9,2,22600,37800,-700
61100,-23.703893,-46.700595,68.69,250.3,8,2,22700,37800,-700
61200,-23.703904,-46.700587,66.17,249.5,8,2,22800,37800,-700
61300,-23.703915,-46.700579,63.65,248.6,11,2,22900,37800,-700
61400,-23.703927,-46.700572,61.13,247.7,12,2,23000,37800,-700
61500,-23.703939,-46.700566,59.32,246.9,8,2,23100,37800,-700
61600,-23.703952,-46.700560,60.47,245.9,10,2,23200,37800,-700
61700,-23.703977,-46.700550,61.62,244.2,10,2,23300,37800,-700
61800,-23.703989,-46.700545,62.77,243.3,8,2,23400,37800,-700
61900,-23.704002,-46.700540,63.92,242.4,11,2,23500,37800,-700
62000,-23.704015,-46.700535,65.08,241.5,11,2,23600,37800,-700
62100,-23.704027,-46.700528,66.23,240.6,8,2,23700,37800,-700
62200,-23.704050,-46.700515,67.38,238.9,11,2,23800,37800,-700
62300,-23.704062,-46.700506,64.86,238.0,8,2,23900,37800,-700
62400,-23.704072,-46.700497,62.34,237.1,10,2,24000,37800,-700
62500,-23.704082,-46.700488,59.82,236.3,9,2,24100,37800,-700
62600,-23.704092,-46.700477,57.30,235.3,10,2,24200,37800,-700
62700,-23.704101,-46.700465,56.36,234.4,10,2,24300,37800,-700
62800,-23.704108,-46.700454,55.25,233.7,11,2,24400,37800,-700
62900,-23.704116,-46.700441,56.40,232.8,12,2,24500,37800,-700
63000,-23.704122,-46.700428,57.55,231.9,12,2,24600,37800,-700
63100,-23.704127,-46.700416,58.51,231.2,9,2,24700,37800,-700
63200,-23.704132,-46.700401,59.66,230.3,11,2,24800,37800,-700
63300,-23.704140,-46.700373,60.82,228.8,9,2,24900,37800,-700
63400,-23.704143,-46.700359,61.97,228.0,11,2,25000,37800,-700
63500,-23.704145,-46.700345,63.12,227.3,9,2,25100,37800,-700
63600,-23.704147,-46.700329,64.27,226.5,12,2,25200,37800,-700
63700,-23.704148,-46.700315,65.42,225.8,12,2,25300,37800,-700
63800,-23.704149,-46.700286,66.58,224.3,12,2,25400,37800,-700
63900,-23.704149,-46.700271,67.73,223.6,8,2,25500,37800,-700
64000,-23.704149,-46.700257,68.88,222.9,10,2,25600,37800,-700
64100,-23.704148,-46.700242,70.03,222.1,12,2,25700,37800,-700
64200,-23.704145,-46.700212,71.18,220.7,10,2,25800,37800,-700
64300,-23.704144,-46.700198,72.34,220.0,12,2,25900,37800,-700
64400,-23.704141,-46.700182,73.49,219.2,9,2,26000,37800,-700
64500,-23.704137,-46.700154,74.64,217.8,11,2,26100,37800,-700
64600,-23.704134,-46.700141,75.79,217.1,12,2,26200,37800,-700
64700,-23.704127,-46.700110,76.94,215.5,10,2,26300,37800,-700
64800,-23.704123,-46.700097,78.10,214.8,9,2,26400,37800,-700
64900,-23.704119,-46.700083,76.80,214.0,11,2,26500,37800,-700
65000,-23.704111,-46.700056,77.95,212.5,11,2,26600,37800,-700
65100,-23.704107,-46.700042,79.11,211.7,10,2,26700,37800,-700
65200,-23.704098,-46.700014,78.67,210.0,12,2,26800,37800,-700
65300,-23.704092,-46.699999,78.65,209.1,9,2,26900,37800,-700
65400,-23.704082,-46.699972,77.31,207.3,9,2,27000,37800,-700
65500,-23.704077,-46.699960,77.57,206.5,10,2,27100,37800,-700
65600,-23.704066,-46.699933,77.83,204.6,11,2,27200,37800,-700
65700,-23.704061,-46.699920,78.98,203.6,9,2,27300,37800,-700
65800,-23.704049,-46.699893,79.08,201.4,12,2,27400,37800,-700
65900,-23.704044,-46.699879,78.58,200.3,9,2,27500,37800,-700
66000,-23.704038,-46.699866,77.25,199.1,10,2,27600,37800,-700
66100,-23.704027,-46.699839,77.02,196.6,10,2,27700,37800,-700
66200,-23.704022,-46.699825,77.57,195.2,12,2,27800,37800,-700
66300,-23.704012,-46.699797,77.48,192.1,9,2,27900,37800,-700
66400,-23.704009,-46.699783,74.96,190.6,9,2,28000,37800,-700
66500,-23.704005,-46.699769,72.44,188.9,9,2,28100,37800,-700
66600,-23.704001,-46.699739,69.92,185.1,10,2,28200,37800,-700
66700,-23.704001,-46.699724,67.40,183.2,12,2,28300,37800,-700
66800,-23.704002,-46.699710,64.88,181.3,12,2,28400,37800,-700
66900,-23.704004,-46.699695,62.36,179.4,10,2,28500,37800,-700
67000,-23.704006,-46.699681,59.84,177.6,9,2,28600,37800,-700
67100,-23.704014,-46.699653,61.00,174.1,9,2,28700,37800,-700
67200,-23.704019,-46.699639,62.15,172.4,10,2,28800,37800,-700
67300,-23.704024,-46.699625,63.30,170.8,9,2,28900,37800,-700
67400,-23.704028,-46.699613,64.45,169.4,10,2,29000,37800,-700
67500,-23.704034,-46.699598,65.60,167.9,8,2,29100,37800,-700
67600,-23.704045,-46.699571,66.76,165.1,9,2,29200,37800,-700
67700,-23.704049,-46.699558,67.91,163.9,8,2,29300,37800,-700
67800,-23.704055,-46.699544,69.06,162.5,9,2,29400,37800,-700
67900,-23.704060,-46.699531,70.21,161.4,11,2,29500,37800,-700
68000,-23.704069,-46.699503,71.36,159.0,9,2,29600,37800,-700
68100,-23.704073,-46.699490,72.52,157.8,9,2,29700,37800,-700
68200,-23.704077,-46.699475,73.67,156.7,10,2,29800,37800,-700
68300,-23.704085,-46.699447,74.82,154.5,10,2,29900,37800,-700
68400,-23.704088,-46.699432,75.97,153.3,11,2,30000,37800,-700
68500,-23.704094,-46.699403,77.12,151.2,10,2,30100,37800,-700
68600,-23.704096,-46.699389,76.36,150.1,9,2,30200,37800,-700
68700,-23.704098,-46.699374,77.51,149.1,8,2,30300,37800,-700
68800,-23.704100,-46.699345,78.67,147.0,8,2,30400,37800,-700
68900,-23.704100,-46.699330,76.43,145.9,10,2,30500,37800,-700
69000,-23.704099,-46.699301,74.37,143.8,9,2,30600,37800,-700
69100,-23.704098,-46.699286,71.85,142.7,11,2,30700,37800,-700
69200,-23.704095,-46.699271,69.33,141.6,11,2,30800,37800,-700
69300,-23.704089,-46.699243,66.81,139.4,8,2,30900,37800,-700
69400,-23.704085,-46.699228,64.29,138.3,8,2,31000,37800,-700
69500,-23.704079,-46.699215,61.77,137.2,11,2,31100,37800,-700
69600,-23.704074,-46.699202,59.25,136.1,11,2,31200,37800,-700
69700,-23.704067,-46.699189,57.43,134.9,9,2,31300,37800,-700
69800,-23.704059,-46.699177,55.19,133.8,12,2,31400,37800,-700
69900,-23.704051,-46.699166,56.34,132.7,10,2,31500,37800,-700
70000,-23.704042,-46.699155,57.24,131.5,11,2,31600,37800,-700
70100,-23.704032,-46.699145,58.39,130.3,8,2,31700,37800,-700
70200,-23.704022,-46.699135,59.54,129.2,9,2,31800,37800,-700
70300,-23.704011,-46.699127,60.69,128.1,10,2,31900,37800,-700
70400,-23.703989,-46.699110,61.85,125.7,12,2,32000,37800,-700
70500,-23.703977,-46.699102,63.00,124.6,11,2,32100,37800,-700
70600,-23.703966,-46.699094,64.15,123.4,8,2,32200,37800,-700
70700,-23.703955,-46.699086,65.30,122.3,9,2,32300,37800,-700
70800,-23.703944,-46.699077,65.01,121.1,11,2,32400,37800,-700
70900,-23.703925,-46.699057,62.49,118.9,12,2,32500,37800,-700
71000,-23.703917,-46.699045,59.97,117.8,12,2,32600,37800,-700
71100,-23.703910,-46.699032,57.45,116.9,11,2,32700,37800,-700
71200,-23.703904,-46.699019,54.93,116.0,9,2,32800,37800,-700
71300,-23.703899,-46.699006,53.99,115.2,12,2,32900,37800,-700
71400,-23.703895,-46.698992,55.14,114.4,9,2,33000,37800,-700
71500,-23.703891,-46.698977,56.29,113.7,9,2,33100,37800,-700
71600,-23.703888,-46.698963,57.44,113.1,8,2,33200,37800,-700
71700,-23.703885,-46.698949,58.60,112.5,11,2,33300,37800,-700
71800,-23.703883,-46.698935,59.75,112.0,11,2,33400,37800,-700
71900,-23.703881,-46.698920,60.90,111.5,10,2,33500,37800,-700
72000,-23.703879,-46.698905,62.05,110.9,10,2,33600,37800,-700
72100,-23.703877,-46.698891,63.20,110.5,8,2,33700,37800,-700
72200,-23.703874,-46.698861,64.36,109.6,11,2,33800,37800,-700
72300,-23.703872,-46.698848,65.51,109.2,9,2,33900,37800,-700
72400,-23.703870,-46.698832,66.66,108.8,11,2,34000,37800,-700
72500,-23.703869,-46.698818,67.81,108.4,9,2,34100,37800,-700
72600,-23.703866,-46.698789,68.96,107.7,10,2,34200,37800,-700
72700,-23.703864,-46.698774,70.12,107.3,11,2,34300,37800,-700
72800,-23.703863,-46.698759,71.27,107.0,11,2,34400,37800,-700
72900,-23.703860,-46.698731,72.42,106.3,11,2,34500,37800,-700
73000,-23.703858,-46.698715,73.57,105.9,8,2,34600,37800,-700
73100,-23.703856,-46.698702,74.72,105.7,12,2,34700,37800,-700
73200,-23.703852,-46.698672,75.88,105.0,11,2,34800,37800,-700
73300,-23.703850,-46.698659,77.03,104.7,12,2,34900,37800,-700
73400,-23.703846,-46.698629,77.03,104.1,9,2,35000,37800,-700
73500,-23.703844,-46.698615,78.14,103.8,10,2,35100,37800,-700
73600,-23.703841,-46.698599,79.29,103.5,8,2,35200,37800,-700
73700,-23.703837,-46.698572,78.93,102.9,11,2,35300,37800,-700
73800,-23.703833,-46.698555,77.50,102.6,11,2,35400,37800,-700
73900,-23.703828,-46.698529,77.52,102.0,8,2,35500,37800,-700
74000,-23.703825,-46.698513,77.49,101.7,8,2,35600,37800,-700
74100,-23.703818,-46.698484,76.62,101.1,10,2,35700,37800,-700
74200,-23.703814,-46.698471,77.34,100.8,12,2,35800,37800,-700
74300,-23.703807,-46.698443,76.37,100.2,9,2,35900,37800,-700
74400,-23.703802,-46.698428,76.95,99.9,9,2,36000,37800,-700
74500,-23.703798,-46.698414,78.10,99.5,9,2,36100,37800,-700
74600,-23.703788,-46.698385,79.25,98.9,12,2,36200,37800,-700
74700,-23.703783,-46.698372,77.21,98.6,10,2,36300,37800,-700
74800,-23.703773,-46.698345,78.06,97.9,8,2,36400,37800,-700
74900,-23.703768,-46.698333,77.26,97.6,12,2,36500,37800,-700
75000,-23.703755,-46.698306,78.41,96.9,11,2,36600,37800,-700
75100,-23.703748,-46.698293,79.44,96.6,12,2,36700,37800,-700
75200,-23.703734,-46.698268,79.67,95.8,9,2,36800,37800,-700
75300,-23.703727,-46.698256,79.54,95.5,11,2,36900,37800,-700
75400,-23.703718,-46.698244,78.91,95.1,12,2,37000,37800,-700
75500,-23.703702,-46.698222,78.96,94.3,8,2,37100,37800,-700
75600,-23.703692,-46.698211,76.44,93.9,10,2,37200,37800,-700
75700,-23.703673,-46.698190,73.92,93.0,12,2,37300,37800,-700
75800,-23.703662,-46.698180,71.40,92.5,10,2,37400,37800,-700
75900,-23.703651,-46.698172,68.88,92.1,11,2,37500,37800,-700
76000,-23.703629,-46.698156,66.92,91.2,11,2,37600,37800,-700
76100,-23.703618,-46.698149,64.89,90.7,9,2,37700,37800,-700
76200,-23.703600,-46.698140,66.04,90.0,9,2,37800,37800,-700
76300,-23.703600,-46.698140,51.15,90.0,8,3,100,37600,-200
76400,-23.703589,-46.698135,52.30,89.5,12,3,200,37600,-200
76500,-23.703576,-46.698130,53.46,89.0,11,3,300,37600,-200
76600,-23.703563,-46.698126,54.61,88.5,9,3,400,37600,-200
76700,-23.703550,-46.698123,55.76,88.0,11,3,500,37600,-200
76800,-23.703536,-46.698120,56.91,87.5,9,3,600,37600,-200
76900,-23.703510,-46.698116,58.06,86.4,10,3,700,37600,-200
77000,-23.703496,-46.698115,59.22,85.9,9,3,799,37600,-200
77100,-23.703482,-46.698115,60.37,85.3,9,3,899,37600,-200
77200,-23.703469,-46.698116,61.52,84.8,9,3,999,37600,-200
77300,-23.703456,-46.698117,62.67,84.3,8,3,1099,37600,-200
77400,-23.703443,-46.698118,63.82,83.8,10,3,1200,37600,-200
77500,-23.703429,-46.698121,64.98,83.3,10,3,1300,37600,-200
77600,-23.703403,-46.698128,66.13,82.2,8,3,1400,37600,-200
77700,-23.703390,-46.698132,64.06,81.7,12,3,1500,37600,-200
77800,-23.703377,-46.698138,63.75,81.2,8,3,1600,37600,-200
77900,-23.703365,-46.698144,63.21,80.6,8,3,1700,37600,-200
78000,-23.703353,-46.698151,62.16,80.1,10,3,1800,37600,-200
78100,-23.703331,-46.698166,61.54,79.2,12,3,1900,37600,-200
78200,-23.703320,-46.698175,62.69,78.7,11,3,2000,37600,-200
78300,-23.703309,-46.698185,62.86,78.2,8,3,2100,37600,-200
